system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",001,食品饮料行业深度报告,85.0776,71.4608,91.5747,85.2497,0.0,62,0.10421804844115601,0.2,0.695781951558844,82.2058,55.3433,2,0,0,2,0,normalized_predictions/mineru-3.4.0-pipeline/001.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/001_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",002,传媒行业深度报告,94.1864,93.7991,96.2279,93.6614,0.0,17,0.08474885844748858,0.2,0.7152511415525115,94.7879,92.316,6,0,0,6,0,normalized_predictions/mineru-3.4.0-pipeline/002.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/002_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",003,创新药产业链深度报告,96.6772,94.0984,93.6222,98.6942,0.0,44,0.2181661458894516,0.2,0.5818338541105484,96.0328,91.1968,8,0,1,8,0,normalized_predictions/mineru-3.4.0-pipeline/003.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/003_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",004,创新药国际化深度报告,92.7131,87.482,90.6794,97.7347,0.0,12,0.35215749112967837,0.2,0.44784250887032173,95.5709,75.3486,7,1,0,7,0,normalized_predictions/mineru-3.4.0-pipeline/004.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/004_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",005,中国平安,88.3439,88.4493,75.7551,93.0837,0.0,21,0.2749194198227236,0.2,0.5250805801772763,91.0752,84.5103,181,0,1,160,21,normalized_predictions/mineru-3.4.0-pipeline/005.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/005_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",006,阿里巴巴,90.8318,81.6395,84.3791,95.9916,100.0,0,0.19769362511893437,0.2,0.6023063748810658,89.9765,69.1338,49,2,0,45,4,normalized_predictions/mineru-3.4.0-pipeline/006.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/006_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",007,美团,85.5091,80.8208,69.7916,91.7786,0.0,3,0.17084340526523978,0.2,0.6291565947347603,85.2002,74.2518,160,0,1,121,39,normalized_predictions/mineru-3.4.0-pipeline/007.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/007_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",008,先锋新材,91.4855,83.0973,88.0801,99.0504,100.0,0,0.3366624259969748,0.2,0.4633375740030252,85.5917,79.3559,215,0,10,199,16,normalized_predictions/mineru-3.4.0-pipeline/008.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/008_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",009,紫天科技,95.7246,92.5407,91.8701,99.3833,0.0,1,0.3150954955342269,0.2,0.4849045044657732,93.4862,91.1223,182,0,4,182,0,normalized_predictions/mineru-3.4.0-pipeline/009.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/009_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",010,万和电气,96.9295,96.1577,92.3265,99.6442,0.0,1,0.3588679278440194,0.2,0.44113207215598066,96.8953,95.0514,215,0,4,215,0,normalized_predictions/mineru-3.4.0-pipeline/010.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/without_charts/mineru-3.4.0-pipeline/documents/010_report.md
