system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),001,食品饮料行业深度报告,93.1499,87.0272,89.0893,94.5706,94.6844,62,0.0430051407844263,0.2,0.7569948592155737,84.7479,90.4462,2,0,0,2,0,normalized_predictions/mineru-3.4.4-vlm/001.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/001_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),002,传媒行业深度报告,88.0793,97.9224,85.3758,87.8692,57.1902,17,0.07050064574944921,0.2,0.7294993542505508,100.0,94.8061,6,0,0,6,0,normalized_predictions/mineru-3.4.4-vlm/002.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/002_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),003,创新药产业链深度报告,94.592,98.1856,87.7845,95.8529,92.6915,44,0.1512229732252885,0.2,0.6487770267747116,99.2211,96.6324,8,0,1,8,0,normalized_predictions/mineru-3.4.4-vlm/003.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/003_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),004,创新药国际化深度报告,92.5325,99.3348,90.6794,89.1559,62.6114,12,0.3017949975478176,0.2,0.4982050024521824,99.6833,98.8122,8,0,0,8,0,normalized_predictions/mineru-3.4.4-vlm/004.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/004_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),005,中国平安,89.5914,93.9886,71.676,94.1144,9.5238,21,0.280578306860762,0.2,0.519421693139238,94.7168,92.8964,192,8,0,167,25,normalized_predictions/mineru-3.4.4-vlm/005.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/005_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),006,阿里巴巴,94.1052,93.7585,82.4568,98.087,100.0,0,0.19769362511893437,0.2,0.6023063748810658,94.8248,92.1591,50,1,0,46,4,normalized_predictions/mineru-3.4.4-vlm/006.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/006_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),007,美团,87.4467,92.0829,67.6369,92.4882,33.3333,3,0.17568220898646797,0.2,0.624317791013532,92.7842,91.0309,169,0,7,124,45,normalized_predictions/mineru-3.4.4-vlm/007.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/007_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),008,先锋新材,92.3984,89.6602,81.0855,99.2713,100.0,0,0.3366624259969748,0.2,0.4633375740030252,90.7194,88.0715,218,0,11,202,16,normalized_predictions/mineru-3.4.4-vlm/008.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/008_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),009,紫天科技,97.5114,99.0476,89.4415,99.8423,100.0,1,0.315574500982466,0.2,0.48442549901753407,98.9588,99.1808,182,1,0,182,0,normalized_predictions/mineru-3.4.4-vlm/009.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/009_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),010,万和电气,91.2347,80.6733,91.5416,99.7181,100.0,1,0.359576110604253,0.2,0.4404238893957471,82.1572,78.4476,216,0,20,216,0,normalized_predictions/mineru-3.4.4-vlm/010.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/with_charts/mineru-3.4.4-vlm/documents/010_report.md
